run_id,issue_key,project_key,issue_type,summary,status_current,created,updated,epic_key,parent_key,labels,total_time_open_bh_hours,total_time_open_24x7_hours,total_status_entries,entries_Code Review,entries_Content In Progress,entries_DEV_QA,entries_Done,entries_FInal Implementation,entries_Final Dev,entries_INTEGRATION QA,entries_In Progress,entries_In Review,entries_Initial Dev,entries_Merged,entries_Peer Review,entries_QA,entries_Ready for release,entries_Removed,entries_To Do,entries_Waiting for approval
3,MEDA-3005,MEDA,Task,Orthopedics changes,Done,2022-10-07T09:49:29.847-0400,2025-05-21T10:25:30.645-0400,,,,5984.71,25104.71,3,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0
3,MEDA-3001,MEDA,Task,Review Cancer dropdown on storybook Storybook 1.8.13,Done,2022-09-28T14:33:11.802-0400,2025-05-21T10:25:36.405-0400,,,,6098.25,25586.25,3,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0
3,MEDA-3000,MEDA,Task,Update storybook to 1.8.13,Done,2022-09-28T12:39:02.034-0400,2025-05-21T10:25:37.994-0400,,,,6099.8,25587.8,4,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0
3,MEDA-2999,MEDA,Task,Update donate page ,Done,2022-09-21T14:13:51.434-0400,2025-05-21T10:25:21.025-0400,,,,6138.57,25754.57,3,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0
3,MEDA-2997,MEDA,Task,Configuration Caching/aggregation on cancer site,Done,2022-09-20T14:35:46.553-0400,2025-05-21T10:25:17.850-0400,,,,6146.1,25778.1,6,0,0,1,2,0,0,0,2,0,0,0,1,0,0,0,0,0
3,MEDA-2995,MEDA,Task,[mobile] Home Page - Keep space between Types of Cancer We Treat and Cancer Clinical Trails,Done,2022-09-20T11:42:09.701-0400,2025-05-21T10:25:16.700-0400,,,,6147.38,25779.38,3,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0
3,MEDA-2994,MEDA,Task,Modify Hero component to send a new tag to analytics,Done,2022-09-19T13:41:19.677-0400,2025-05-21T10:25:33.006-0400,,,,6155.1,25803.1,4,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0
3,MEDA-2991,MEDA,Task,Remove console logging of analytics,Done,2022-09-16T10:57:04.189-0400,2025-05-21T10:25:16.716-0400,,,,6165.24,25877.25,3,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0
3,MEDA-2990,MEDA,Task,Find a Doctor and Investigator profile for all providers,Done,2022-09-16T10:18:23.642-0400,2025-05-21T10:25:15.328-0400,,,,6166.54,25878.54,4,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0
3,MEDA-2989,MEDA,Task,"Add url from field_profile_url to Team Card ""Full Profile"" link",Done,2022-09-15T18:55:47.649-0400,2025-05-21T10:25:11.969-0400,,,,6167.85,25893.92,3,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0
3,MEDA-2988,MEDA,Task,Limit analytics value lengths,Done,2022-09-15T17:55:08.418-0400,2025-05-21T10:25:12.980-0400,,,,6167.85,25894.92,9,0,0,0,2,0,0,1,2,0,0,0,2,1,0,0,0,1
3,MEDA-2987,MEDA,Task,Events - Adjustments ,Done,2022-09-15T17:51:04.282-0400,2025-05-21T10:25:13.254-0400,,,,6167.4,25879.4,4,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0
3,MEDA-2986,MEDA,Task,Hero image resolution looks too big on Landing Page,Done,2022-09-15T15:58:22.973-0400,2025-05-21T10:25:12.566-0400,,,,6168.87,25896.88,5,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,1,0
3,MEDA-2984,MEDA,Task,Review overridden _card-content.twig,Done,2022-09-15T13:53:02.940-0400,2025-05-21T10:25:18.613-0400,,,1.8.11(Storybook),6169.97,25897.97,6,0,0,0,2,0,0,0,1,0,0,1,1,1,0,0,0,0
3,MEDA-2983,MEDA,Task,Review overridden _menu.twig,Done,2022-09-15T13:52:51.132-0400,2025-05-21T10:25:20.876-0400,,,1.8.11(Storybook),6170.53,25898.53,6,0,0,0,2,0,0,0,1,0,0,1,1,1,0,0,0,0
3,MEDA-2982,MEDA,Task,Remove attach_library from block--inline-block--tabs.html.twig,Done,2022-09-15T13:52:36.032-0400,2025-05-21T10:25:21.857-0400,,,1.8.11(Storybook),6169.6,25897.6,6,0,0,0,2,0,0,0,1,0,0,1,1,1,0,0,0,0
3,MEDA-2981,MEDA,Task,Implement map updates,Done,2022-09-15T13:52:20.214-0400,2025-05-21T10:25:19.985-0400,,,1.8.11(Storybook),6164.47,25876.47,5,0,0,0,2,0,0,0,1,0,0,0,1,1,0,0,0,0
3,MEDA-2979,MEDA,Task,Remove cancer_theme/top-bar library-extend,Done,2022-09-15T13:50:30.070-0400,2025-05-21T10:25:23.154-0400,,,1.8.11(Storybook),6170.36,25898.36,6,0,0,0,2,0,0,0,1,0,0,1,1,1,0,0,0,0
